dataset,tier,task,condition,experimental_unit,dataset_level_n,seed_repetitions,isolated_component,comparison_scope,fitness_mean,fitness_std,fitness_min,fitness_max,metric_name,metric_direction,observed_metric_mean,observed_metric_std,observed_metric_min,observed_metric_max
Iris Species Morphometrics,Tier B (Diagnostic Benchmark),supervised_classification,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,91.38,0.0,91.38,91.38,Macro F1,higher_is_better,0.9667,0.0207,0.9327,0.981
Melbourne Daily Temperatures,Tier B (Diagnostic Benchmark),time_series_forecasting,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,91.8,0.0,91.8,91.8,RMSE,lower_is_better,2.4505,0.0,2.4505,2.4505
Melbourne Daily Temperatures,Tier B (Diagnostic Benchmark),time_series_forecasting,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,96.68,0.0,96.68,96.68,RMSE,lower_is_better,2.4505,0.0,2.4505,2.4505
Melbourne Daily Temperatures,Tier B (Diagnostic Benchmark),time_series_forecasting,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,91.8,0.0,91.8,91.8,RMSE,lower_is_better,2.4505,0.0,2.4505,2.4505
Melbourne Daily Temperatures,Tier B (Diagnostic Benchmark),time_series_forecasting,NO_VETO,dataset,8,5,defect_policy,component_isolation,96.7,0.0,96.7,96.7,RMSE,lower_is_better,2.4505,0.0,2.4505,2.4505
Melbourne Daily Temperatures,Tier B (Diagnostic Benchmark),time_series_forecasting,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,95.88,0.0,95.88,95.88,RMSE,lower_is_better,2.4505,0.0,2.4505,2.4505
Retail Store Sales,Tier C (Held-Out Generalization),supervised_regression,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,46.3,0.0,46.3,46.3,RMSE,lower_is_better,278.4357,12.7448,262.2034,292.2166
Retail Store Sales,Tier C (Held-Out Generalization),supervised_regression,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,93.26,0.0,93.26,93.26,RMSE,lower_is_better,278.4357,12.7448,262.2034,292.2166
Retail Store Sales,Tier C (Held-Out Generalization),supervised_regression,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,46.3,0.0,46.3,46.3,RMSE,lower_is_better,278.4357,12.7448,262.2034,292.2166
Retail Store Sales,Tier C (Held-Out Generalization),supervised_regression,NO_VETO,dataset,8,5,defect_policy,component_isolation,93.3,0.0,93.3,93.3,RMSE,lower_is_better,278.4357,12.7448,262.2034,292.2166
Retail Store Sales,Tier C (Held-Out Generalization),supervised_regression,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,87.57,0.0,87.57,87.57,RMSE,lower_is_better,278.4357,12.7448,262.2034,292.2166
UCI Air Quality Sensors,Tier B (Calibration Benchmark),time_series_forecasting,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,70.0,70.0,RMSE,lower_is_better,53.8789,0.0,53.8789,53.8789
UCI Air Quality Sensors,Tier B (Calibration Benchmark),time_series_forecasting,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,70.0,70.0,RMSE,lower_is_better,53.8789,0.0,53.8789,53.8789
UCI Air Quality Sensors,Tier B (Calibration Benchmark),time_series_forecasting,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,70.0,70.0,RMSE,lower_is_better,53.8789,0.0,53.8789,53.8789
UCI Air Quality Sensors,Tier B (Calibration Benchmark),time_series_forecasting,NO_VETO,dataset,8,5,defect_policy,component_isolation,90.3,0.0,90.3,90.3,RMSE,lower_is_better,53.8789,0.0,53.8789,53.8789
UCI Air Quality Sensors,Tier B (Calibration Benchmark),time_series_forecasting,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,91.5,0.0,91.5,91.5,RMSE,lower_is_better,53.8789,0.0,53.8789,53.8789
UCI Red Wine Quality,Tier B (Calibration Benchmark),supervised_regression,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.591,0.0202,0.5654,0.61
UCI Red Wine Quality,Tier B (Calibration Benchmark),supervised_regression,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.591,0.0202,0.5654,0.61
UCI Red Wine Quality,Tier B (Calibration Benchmark),supervised_regression,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.591,0.0202,0.5654,0.61
UCI Red Wine Quality,Tier B (Calibration Benchmark),supervised_regression,NO_VETO,dataset,8,5,defect_policy,component_isolation,94.5,0.0,94.5,94.5,RMSE,lower_is_better,0.591,0.0202,0.5654,0.61
UCI Red Wine Quality,Tier B (Calibration Benchmark),supervised_regression,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,94.17,0.0,94.17,94.17,RMSE,lower_is_better,0.591,0.0202,0.5654,0.61
